Crop,N,P,K,pH,Rainfall,Temperature,Humidity,Season
Cotton,78,39,35,7.06,113.72,27.24,42.0,Kharif
Maize,93,55,38,5.97,145.09,18.68,64.44,Zaid
Millet,31,47,40,6.23,76.7,20.08,30.58,Kharif
Maize,97,62,50,6.08,89.06,25.42,57.65,Zaid
Rice,82,44,46,5.72,159.76,34.23,89.31,Kharif
Wheat,68,55,50,6.35,66.87,20.25,52.2,Rabi
Maize,83,51,38,6.02,155.54,23.1,54.16,Zaid
Millet,58,50,37,6.55,96.37,30.74,44.95,Kharif
Millet,52,47,44,6.92,90.67,28.97,43.49,Kharif
Wheat,84,57,57,6.81,59.86,22.03,41.49,Rabi
Rice,103,40,47,5.51,272.32,30.6,84.58,Kharif
Rice,84,49,78,6.35,287.24,32.75,78.99,Kharif
Rice,102,69,63,6.37,238.69,24.12,81.22,Kharif
Maize,106,49,48,6.82,152.17,20.83,55.12,Kharif
Rice,94,54,65,5.53,166.18,20.47,82.73,Kharif
Cotton,81,28,54,5.78,114.4,28.56,44.06,Kharif
Sugarcane,121,46,61,7.32,201.17,24.43,62.64,Zaid
Cotton,69,54,54,6.58,132.67,33.55,46.36,Kharif
Rice,80,64,66,6.06,272.7,32.91,70.14,Kharif
Maize,78,64,39,6.63,106.94,20.93,53.37,Zaid
Rice,91,69,78,6.15,195.13,24.27,70.74,Kharif
Rice,81,41,67,5.57,191.8,33.62,74.79,Kharif
Wheat,85,35,52,7.01,103.31,13.56,54.56,Rabi
Sugarcane,141,73,45,6.6,226.14,31.98,63.77,Kharif
Millet,45,48,22,6.18,80.65,20.2,42.8,Kharif
Maize,89,41,54,6.93,119.76,24.21,66.75,Kharif
Cotton,74,42,47,6.58,122.62,24.2,43.5,Kharif
Rice,81,40,51,6.23,282.4,22.83,75.58,Kharif
Maize,85,37,54,6.86,157.99,25.7,51.68,Zaid
Cotton,87,32,44,6.66,93.51,34.16,59.47,Kharif
Wheat,77,31,51,6.67,119.61,12.64,40.36,Rabi
Millet,50,35,39,5.73,84.65,28.65,37.7,Kharif
Cotton,71,47,46,5.99,147.57,26.5,57.84,Kharif
Maize,96,36,55,6.4,137.69,23.91,53.9,Kharif
Maize,73,37,51,5.85,179.46,23.64,55.59,Zaid
Maize,110,39,58,6.2,135.28,24.87,69.61,Zaid
Sugarcane,110,71,62,6.4,183.09,25.59,69.87,Zaid
Wheat,62,37,43,6.15,93.05,24.85,42.8,Rabi
Maize,71,60,51,6.82,93.66,26.51,61.06,Zaid
Wheat,94,47,54,6.92,55.71,10.08,52.56,Rabi
